age,gender,year,loc,deaths,nb_c,orphans
50-66,Female,2004,63,240,0.0884572706459643,21
55-59,Male,2004,63,106,0.34978565274432627,37
60-76,Male,2004,63,557,0.08871433284496447,49
10-14,Female,2004,66,14,0.010159545210158978,0
10-14,Male,2004,66,22,2.054622726167152e-4,0
15-19,Female,2004,66,30,0.28785053266886024,9
15-19,Male,2004,66,102,0.06411097167768301,7
20-24,Female,2004,66,36,0.8840129134471626,32
20-24,Male,2004,66,215,0.37952794954300306,82
25-29,Female,2004,66,38,1.4815036880979096,56
25-29,Male,2004,66,193,0.886193471237871,171
30-34,Female,2004,66,16,1.8501769364323954,30
30-34,Male,2004,66,145,1.3923522844162133,202
35-39,Female,2004,66,48,1.6502434293862747,79
35-39,Male,2004,66,160,1.6484548249876767,264
40-44,Female,2004,66,54,1.1110382609449025,60
40-44,Male,2004,66,142,1.457217822047051,207
45-49,Female,2004,66,57,0.5979362692859227,34
45-49,Male,2004,66,163,1.0495543540955978,171
50-54,Male,2004,66,154,0.6664778986171828,103
50-66,Female,2004,66,433,0.10173782315277266,44
55-59,Male,2004,66,177,0.37632205805393465,67
60-76,Male,2004,66,889,0.08426258959146174,75
10-14,Female,2004,68,20,0.008281641847447231,0
10-14,Male,2004,68,47,2.4567336194089025e-4,0
15-19,Female,2004,68,45,0.24657414770081043,11
15-19,Male,2004,68,143,0.05694201707329198,8
20-24,Female,2004,68,57,0.784446073599943,45
20-24,Male,2004,68,215,0.3466975816705864,75
25-29,Female,2004,68,42,1.380400152280875,58
25-29,Male,2004,68,196,0.8228599927110092,161
30-34,Female,2004,68,47,1.7967498490963216,84
30-34,Male,2004,68,183,1.3143591038936875,241
35-39,Female,2004,68,75,1.6906219182519653,127
35-39,Male,2004,68,193,1.607210406021524,310
40-44,Female,2004,68,80,1.1799353310999223,94
40-44,Male,2004,68,207,1.4604519074125941,302
45-49,Female,2004,68,110,0.654371959415021,72
45-49,Male,2004,68,199,1.0456974674559574,208
50-54,Male,2004,68,253,0.638771280192719,162
50-66,Female,2004,68,714,0.11052696943131578,79
55-59,Male,2004,68,295,0.3490684344196192,103
60-76,Male,2004,68,1569,0.08251601548573285,129
10-14,Female,2004,70,9,0.00889373349183502,0
10-14,Male,2004,70,13,1.7167738339211335e-4,0
15-19,Female,2004,70,14,0.2534555170649447,4
15-19,Male,2004,70,43,0.04729863053685254,2
20-24,Female,2004,70,19,0.7391326916415697,14
20-24,Male,2004,70,59,0.34801596020707587,21
25-29,Female,2004,70,15,1.2067667162530764,18
25-29,Male,2004,70,61,0.8217647597090622,50
30-34,Female,2004,70,17,1.4877346729615517,25
30-34,Male,2004,70,71,1.2622276717153855,90
35-39,Female,2004,70,21,1.3699017626728784,29
35-39,Male,2004,70,55,1.500702222084144,83
40-44,Female,2004,70,26,0.9114327729507566,24
40-44,Male,2004,70,62,1.3241419899488978,82
45-49,Female,2004,70,34,0.4699472894002008,16
45-49,Male,2004,70,55,0.9355251567991172,51
50-54,Male,2004,70,77,0.5656298811386556,44
50-66,Female,2004,70,183,0.07736753253627873,14
55-59,Male,2004,70,62,0.3076520379183856,19
60-76,Male,2004,70,331,0.0728484031927088,24
10-14,Female,2004,73,22,0.010836679741175194,0
10-14,Male,2004,73,32,2.556968848507611e-4,0
15-19,Female,2004,73,23,0.285842201938528,7
15-19,Male,2004,73,81,0.06679637377028633,5
20-24,Female,2004,73,58,0.8597656049240949,50
20-24,Male,2004,73,145,0.40379670356135516,59
25-29,Female,2004,73,34,1.4367820405221086,49
25-29,Male,2004,73,126,0.943295306217543,119
30-34,Female,2004,73,31,1.8239709512176505,57
30-34,Male,2004,73,123,1.4776076378045533,182
35-39,Female,2004,73,43,1.6834921500685593,72
35-39,Male,2004,73,109,1.7601001964963177,192
40-44,Female,2004,73,62,1.1806544977988374,73
40-44,Male,2004,73,127,1.5784073365629907,200
45-49,Female,2004,73,93,0.6599919232511937,61
45-49,Male,2004,73,148,1.153824389107458,171
50-54,Male,2004,73,167,0.739701253846324,124
